date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:21	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Nov%202025%2006:36:34%20GMT	https://www.nexusmentalhealth.com/robots.txt		(from )
17:23:22	107102/107102	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Nov%202025%2006:34:08%20GMT	https://www.nexusmentalhealth.com/	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/index.html	(from )
17:23:23	382/382	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Nov%202025%2013:23:05%20GMT	https://www.nexusmentalhealth.com/node/1	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/node/1	(from https://www.nexusmentalhealth.com/)
17:23:23	267570/267570	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/2024-01/hero_home_desktop.jpg	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/2024-01/hero_home_desktop.jpg	(from https://www.nexusmentalhealth.com/)
17:23:24	25886/25886	---M-Z	200	added ('OK')	application/javascript	etag:0x8DE2586DDA5F050	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.nexusmentalhealth.com/)
17:23:27	208596/208596	---MCZ	200	added ('OK')	application/x-javascript	etag:%22c35f40756b6f31ec48a528e3b8cd9596:1744411404.294886%22	http://assets.adobedtm.com/3f0d2e2dbd42/4020afc76329/launch-9f3a8c3caa57.min.js	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/assets.adobedtm.com/3f0d2e2dbd42/4020afc76329/launch-9f3a8c3caa57.min.js	(from https://www.nexusmentalhealth.com/)
17:23:27	5653/5653	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2007%20May%202025%2006:21:46%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/themes/site/themes/custom/theme_nexus/favicon.ico	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/themes/site/themes/custom/theme_nexus/favicon.ico	(from https://www.nexusmentalhealth.com/)
17:23:27	1532/1532	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:14%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_97htjIvQ15V1EfeTASftshiMIzLS36LIXVDogWwnlWQ.IJ5KA0xBsRRaiRPaWB6Sh9PN3WKo_EsNIYaw8SqYqYc.css?t5hzjk	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_97htjIvQ15V1EfeTASftshiMIzLS36LIXVDogWwnlWQ.IJ5KA0xBsRRaiRPaWB6Sh9PN3WKo_EsNIYaw8SqYqYc2ad8.css	(from https://www.nexusmentalhealth.com/)
17:23:28	1470/1470	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:15%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_Zru9LBZ0sAXcjonUFHSutTAZkU-sNKpHr1JGBQ4FyU0.bkPvoFYCA2Lixa4KISvTdT3EKjCHiKrtKcE261byVx0.css?t5hzjk	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_Zru9LBZ0sAXcjonUFHSutTAZkU-sNKpHr1JGBQ4FyU0.bkPvoFYCA2Lixa4KISvTdT3EKjCHiKrtKcE261byVx02ad8.css	(from https://www.nexusmentalhealth.com/)
17:23:28	792/792	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:15%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_kzULKG5pzGyNLykluQb5oDJTQPcLlJKzZ5imyM6J1h8.b9DwpaiAlb0lsM657D5Lniy-cPNAkk4Cxr45yy473q4.css?t5hzjk	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_kzULKG5pzGyNLykluQb5oDJTQPcLlJKzZ5imyM6J1h8.b9DwpaiAlb0lsM657D5Lniy-cPNAkk4Cxr45yy473q42ad8.css	(from https://www.nexusmentalhealth.com/)
17:23:28	1175/1175	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:15%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_uI2FntcPi0s7LE7aVRLFPdaOjEJ2AvgJxZxn7U_KEpU.uS1FFwOJYeXSeF3bIVSvkMkrHh5opqqW_F79rAx63B0.css?t5hzjk	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_uI2FntcPi0s7LE7aVRLFPdaOjEJ2AvgJxZxn7U_KEpU.uS1FFwOJYeXSeF3bIVSvkMkrHh5opqqW_F79rAx63B02ad8.css	(from https://www.nexusmentalhealth.com/)
17:23:28	1407/1407	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:15%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_LyrrR6JZO8eTCViUPzg899V1r3IBqMYsy9zQoA-d_xo.Awf46AhlxtFml2KQ8H4-E0dZzxzlJb1Ua0P5_ptOC4k.css?t5hzjk	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_LyrrR6JZO8eTCViUPzg899V1r3IBqMYsy9zQoA-d_xo.Awf46AhlxtFml2KQ8H4-E0dZzxzlJb1Ua0P5_ptOC4k2ad8.css	(from https://www.nexusmentalhealth.com/)
17:23:28	1756/1756	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:15%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_YuXFCqJ6Mh9c2Lz522vxxQKwCuYdi4B4eglcgrxGnjc.xk_yrolxl9EFVCS6-YD3__eEEiB4lkwtBVMLZeTfMbA.css?t5hzjk	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_YuXFCqJ6Mh9c2Lz522vxxQKwCuYdi4B4eglcgrxGnjc.xk_yrolxl9EFVCS6-YD3__eEEiB4lkwtBVMLZeTfMbA2ad8.css	(from https://www.nexusmentalhealth.com/)
17:23:29	484/484	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:15%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_QFP1hM7WLcxcgk0ugO8g07Igkb2TVVC-zTOOyNcyODA.l_5ZkiCBh5EcPa_3_oVW7iVMoKNAq5rw47oEzn5A4uM.css?t5hzjk	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_QFP1hM7WLcxcgk0ugO8g07Igkb2TVVC-zTOOyNcyODA.l_5ZkiCBh5EcPa_3_oVW7iVMoKNAq5rw47oEzn5A4uM2ad8.css	(from https://www.nexusmentalhealth.com/)
17:23:29	95/95	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:15%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_0Ny4cdKqSdUCVJGF2wOpW9zbiddbbZXY8WkM_XJpnL8.x5nsh_uKblK9k6iDq9xx7vDex30jZc5ML0YXij4JCf0.css?t5hzjk	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_0Ny4cdKqSdUCVJGF2wOpW9zbiddbbZXY8WkM_XJpnL8.x5nsh_uKblK9k6iDq9xx7vDex30jZc5ML0YXij4JCf02ad8.css	(from https://www.nexusmentalhealth.com/)
17:23:29	228/228	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:16%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_x_4HIN6y5Q2mTk5Yv7JQVdc-r71A0bNzHEv3Wizcouw.wlKRY8YQBgCfpxiNlZOsb4n8ocpyNihHm1PCxaJ72aQ.css?t5hzjk	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_x_4HIN6y5Q2mTk5Yv7JQVdc-r71A0bNzHEv3Wizcouw.wlKRY8YQBgCfpxiNlZOsb4n8ocpyNihHm1PCxaJ72aQ2ad8.css	(from https://www.nexusmentalhealth.com/)
17:23:29	307/307	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:16%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_UmAqJl0l8Iyu6ze5RyEPgBE6SIIewruIiHw0myxraZk.PZJw_IXbQZH7i6WEC-FHNDBoI3_PTyzLEmC7wWy4oTU.css?t5hzjk	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_UmAqJl0l8Iyu6ze5RyEPgBE6SIIewruIiHw0myxraZk.PZJw_IXbQZH7i6WEC-FHNDBoI3_PTyzLEmC7wWy4oTU2ad8.css	(from https://www.nexusmentalhealth.com/)
17:23:30	127/127	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:16%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_9fdY-kLwoAH17IT6ViP47CdYfbBMwZBp0UTWz5W6WdM.8xdGy7dXc6zJNYRxgF4k0vgBhKloby5N-_V1MMOlg8A.css?t5hzjk	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_9fdY-kLwoAH17IT6ViP47CdYfbBMwZBp0UTWz5W6WdM.8xdGy7dXc6zJNYRxgF4k0vgBhKloby5N-_V1MMOlg8A2ad8.css	(from https://www.nexusmentalhealth.com/)
17:23:30	1366/1366	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:16%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_C_lMMBJD1jF8Lb4t-73z0zLIGmrUIjBn8oLQ4yu2-LA.F9pmb7LygmrpoeT1fXJA7PaAVf2oWybBXF5F5Eihki4.css?t5hzjk	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_C_lMMBJD1jF8Lb4t-73z0zLIGmrUIjBn8oLQ4yu2-LA.F9pmb7LygmrpoeT1fXJA7PaAVf2oWybBXF5F5Eihki42ad8.css	(from https://www.nexusmentalhealth.com/)
17:23:30	287/287	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Nov%202025%2006:34:16%20GMT	https://www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_M3EqtkMzY2VXZ2NYDaMtpuqydcZtOVwPzc4s-713RoE.KNMtBlCBCom77JyoWGB48Q3ueDS7rzZa_7XYX8jrDaA.css?t5hzjk	C:/Users/EJ182LJ/Downloads/sites3/nexusmentalhealth/www.nexusmentalhealth.com/sites/g/files/qhldwo10806/files/css/optimized/css_M3EqtkMzY2VXZ2NYDaMtpuqydcZtOVwPzc4s-713RoE.KNMtBlCBCom77JyoWGB48Q3ueDS7rzZa_7XYX8jrDaA2ad8.css	(from https://www.nexusmentalhealth.com/)
